star,4652.593Cr1_29,4652.593Cr1_30,4653.460Cr1_29,4653.460Cr1_30,4759.449Ti1_32,4759.449Ti1_33,4760.600Ti1_32,4760.600Ti1_33,4799.873Ti2_33,4799.873Ti2_34,4800.072Fe1_33,4800.072Fe1_34,5138.510Ni1_42,5143.171Fe1_42,5187.346Ti2_43,5200.158Fe1_43,6123.910Ca1_60,6138.313Fe1_60,6139.390Fe1_60,6153.320Fe1_61,6155.928Na1_61,6162.452Na1_61,6168.150Ca1_61,6175.044Fe1_61,6192.900Ni1_61,6202.028Fe1_61,6242.372Fe1_62,6244.834V1_62
HD172051,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD177409,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD177565,-415.1859762813376,-284.6429261509364,124.03889693584125,284.6037817211262,-42.3348334583944,50.2371705315238,-17.240997408540185,72.24626689469278,-152.99030312002935,-54.683371913457776,-49.69505988650095,57.77505174150921,-246.9915901067514,137.496250460572,34.42642644169,65.35468524180258,260.12319919472844,377.3269492914793,329.6014627607884,114.31003160328859,52.60597220756391,73.68220133237496,-324.14096232062604,96.18387559384178,-279.7646987645168,200.71572875796008,108.49820891267758,101.72253707025922
HD1835,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD183658,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD184768,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD189567,-425.81736844886575,-316.31364493796525,100.00799001822476,225.7189290431532,-27.85114073002211,53.884252705526976,-17.799107423702743,49.549463138105956,-80.75651075755286,-3.1780382438069763,-40.28680949297781,44.35377628179734,-272.3702474887976,128.52908316502808,102.92867487779657,103.58451715905717,313.31940926030677,383.1997476131304,333.699589610499,124.9909808156907,23.432433881724773,62.650042171723506,-318.63026333080336,101.3114254980037,-334.3347242502067,151.48047382255456,136.33754739887422,139.34774331706427
HD189625,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD190248,-378.42067212771775,-230.72298600273373,188.04735533394492,376.8280674563162,-37.31017963785009,50.66537186239546,-22.109049622973313,69.26997163437242,-175.46627854813391,-78.18941801790292,-55.82254338645442,51.00136120176261,-299.101443142761,119.8805711178045,19.920402797693146,77.33530091032584,278.7100101722057,432.48077853096987,370.5929743738751,123.63522298954265,126.9403683843217,153.14276750943228,-304.972380577645,109.27648853224356,-329.45414134937107,214.7751718799399,110.32303208961955,127.88836465033079
HD19467,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD196761,-421.1444810362889,-323.3659932037318,71.0158705279794,217.35455144814716,-23.115797185334788,42.48516230175797,-8.845205583210952,72.69081539442416,-154.89074048088145,-61.089469776621186,-49.90612815845944,84.30629052216781,-287.16903690815616,101.27533333464929,42.451736712528685,66.57686008616068,226.30992338317594,330.14776714557365,292.59046717352516,97.28786345440679,-109.0441953214538,-49.871785675707955,-356.2429621282576,103.61159471121047,-321.26259997478024,177.77480537893433,122.52241722112818,91.60394789181755
HD197818,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD199960,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD203432,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD20407,-459.63627535833996,-343.56888963687607,62.089439898000364,186.95445169186246,-67.04939025662831,47.80431743770321,-34.52142965091002,31.257517120687343,-84.86447915607918,37.293013518768355,20.536401732688468,87.55106848469063,-247.93742953953566,131.0345262837588,99.22702159941737,75.59269668521226,308.16699960340446,360.802057819701,324.4197447009027,115.34876757531288,8.662901749849862,53.71095473582558,-334.90971633629437,87.95709696927469,-324.8603901160686,125.09076800028976,118.38862686719328,137.4435146659699
HD204385,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD205536,-416.98691858675255,-300.19640012298277,115.90911907884733,248.7481138714825,-24.243723247334252,57.985772709992474,-6.605408346821176,70.3124296103556,-167.5218719234548,-66.20504153299096,-38.576903662764714,54.99939124211278,-325.12428513601867,96.92159646929244,23.316794794278515,62.48421057648463,220.88396102252696,350.9216933735807,294.46728162519554,109.97186151288963,-11.497873625496197,31.6588779732547,-343.9684587446051,97.43029981902652,-339.45724122711397,179.47627015249108,114.47813937276221,99.91783499868963
HD20619,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD2071,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD207129,-437.009333340855,-307.6038226428919,123.09887191526308,272.7815564274962,-65.89531958209258,56.097737491753335,-46.2739730006985,54.61376960664651,-114.83029039703246,4.184911130862886,-62.07474333597259,45.46440497240163,-223.78559886509487,131.78018619481333,73.47796442337956,73.60788152661658,310.6886338724281,377.40373755752444,321.921473191269,113.71607389822096,75.91730050907877,87.64517684138404,-319.28462002244856,94.71194913847802,-292.8722730838634,151.27427120330492,106.69195092795131,148.03062552281023
HD20766,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD20782,-418.3397881658426,-295.6033273067192,122.73020522177538,258.10343282150484,-64.15953966286165,33.84475620191419,-45.73884184886064,58.81401444806877,-107.0096570493476,-9.705009475105568,-24.98163816804243,69.57583810956429,-222.71000944672312,141.9199785863666,82.83865068359134,106.3807806231954,313.26610874203254,399.0489872755895,342.5898201797232,113.24312492113484,88.02752751866261,100.35892511318406,-314.8441974588021,109.21316386823295,-282.82289860478363,177.66775806296235,125.75814193001095,107.75244398656659
HD20807,-445.7156065836747,-327.59622918205685,87.0005236818069,233.18180858449625,-42.844597963589415,42.798433770493354,-37.84474041534226,64.40020331211298,-89.77269976490483,9.930687384681923,-35.6736934349108,74.9256639090609,-249.89826412926365,130.46467184171266,84.88236564493931,82.96053942312906,302.1365591006343,362.54510898887867,315.77508428958356,124.92845673330517,29.137455080432815,56.018131151167786,-337.36814179437226,92.05403265589534,-313.30761258007254,149.28119942075082,109.75861694887368,143.9427964030079
HD208704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD210918,-410.24570378604824,-295.8411333820695,126.49468967254305,265.8671842733815,-38.84800734766977,30.580987395936152,-25.52912986188407,62.083415118415495,-113.25398999468854,-12.137457867864041,-41.80002081993806,64.90506436445743,-257.9817351110309,144.68302592833393,100.66008480770137,116.89035468457477,335.3495702347566,406.7366803923605,354.64301684010206,130.92457824756193,94.21612051153075,102.7224201624328,-304.19176450747983,114.43929297271403,-318.0421605153635,175.22515758868693,124.76682593620478,139.14256069505547
HD211415,-442.5769363778166,-328.12740440319646,92.21264368073808,234.5036749235338,-49.92432320973321,33.590695643839794,-42.54481901059328,50.805205164161265,-101.42708832140094,5.02138620657156,-43.6581518433697,74.17600407714716,-238.86238920208737,132.99160205197416,95.1887018259103,87.31283800174673,313.44539563310605,392.46754142108347,339.66707548692847,112.2541489180055,85.73015039073996,84.5931845128026,-318.7520529578538,105.29556663904864,-300.09282220667006,151.40227418872064,118.83410231793697,158.24207110687644
HD212708,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD213575,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD217014,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD220507,-404.513133383763,-271.2799640074355,147.4827448480068,293.28906822044314,-35.789757986533424,58.52281204810632,-21.935790375516273,72.07937181141641,-123.95550014384257,-36.07108701341819,-24.785867386247364,83.77990177361694,-309.7381924838707,123.96664434376785,86.85811039483913,111.21533146149099,322.1162238043905,411.0397493530666,354.68281871914814,155.5028437427177,116.35221395797153,118.71543161165187,-287.0943329991011,107.04565309785666,-351.6528864678108,183.60306346187608,127.76827087825086,123.87599804896071
HD222582,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD222669,-427.64019323562275,-218.06724538429054,145.39605301965895,292.25539249817155,32.42370974329344,-70.12553072912476,-26.887493812479534,35.99539685660187,-88.45111934252753,-31.77872673291762,-113.46204113340411,215.19891281650325,-211.65225889993198,107.63538511272264,54.87310277282461,87.15810281194899,288.2733959466276,355.9517130545721,362.36802612442057,192.41422308285507,110.15231315092176,83.28165184129415,-319.1660912250532,92.91374291031406,-245.31468109854842,173.49003923871487,141.11719372515785,59.1501271691788
HD28821,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD30495,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD31527,-481.03292086617114,-333.90062688606326,101.79623657964771,240.3257314990458,-94.97873929978806,20.17617878923693,32.487475694776435,92.66015630675383,-76.4078765097641,40.73469869169617,-128.68900969679623,19.340135890110506,-235.29208005554915,148.53060035796045,68.33906753407388,75.86530123955555,297.4248803666933,397.0154028523268,360.9261115155887,74.54887935515876,-194.09746035114992,92.0211642812535,-291.6803368610181,131.70366539357838,-303.41020175406203,150.92091769233082,90.23365868426146,211.05603491448687
HD32724,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD361,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD37962,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD38277,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD38858,-427.320042276095,-317.7783915958716,97.9884797785076,229.99198774188008,-48.70501917006711,42.84206196193777,-35.630557939386605,64.98641096579689,-113.89094786342292,-11.68404494924544,-33.758269208288134,57.40580896395381,-224.21028784809624,142.770484944721,68.04394260580078,94.17303561997964,297.3625489715015,373.721065217778,329.66070822249674,119.22624955711204,-12.639067394449436,24.37410319264905,-346.1915991980776,94.1281936792914,-282.4691486013956,172.20652206478405,107.40424305189393,100.4091188097917
HD38973,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD39091,-436.4376268210316,-298.22344616768083,136.50311762688023,297.0791079723525,-54.497328559322696,32.237362327619635,-52.82810016059609,60.4597435924115,-118.79309044406317,5.450475757189392,-102.96874581048586,42.78866234211403,-214.1310299210004,136.7587613742928,74.05066101807196,65.52232583750636,308.9697164439206,393.56860674009374,341.7680620363401,159.40935143183694,130.16251439132205,136.53630342865245,-315.3308456802376,98.86124780341636,-276.9368547801027,173.4494647709931,116.53360395068874,172.02517030634917
HD43587,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD43834,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD4391,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD44420,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD44447,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD44594,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD45184,-420.573213226108,-298.731292009138,142.82523780510965,285.7600682163764,-56.712509618733634,25.593501186831382,-36.894343529123084,38.01130416711314,-136.75128633026594,-6.778639324584049,-71.90039576533786,57.87279308483067,-230.9995884598963,139.45261857194967,57.37444048956638,72.26985022911123,300.9800466680188,386.0238786978126,346.43430302251187,117.0551400280568,106.52508123221158,85.87097748818904,-309.7300370297774,103.90985400215366,-284.00831146129894,176.90292489481246,114.57804498057013,124.74774380474288
HD45289,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD47186,-389.5929023440742,-261.5602649863715,173.96952403644974,320.24261856457855,-65.07714173979963,38.757651489894,-26.12968633805912,70.87053598210082,-162.37428036417575,-45.80152724062639,-67.95596009361282,45.309950374980936,-273.6655683854728,139.22932705706907,28.93355349291751,61.258533990087905,278.74010750005647,461.8228914566683,359.7477678178634,134.829411335298,114.74348199497557,152.74158666823433,-330.26594323376986,99.76203894335221,-287.4063749814298,226.76843888747433,113.04867597751486,127.09030844297438
HD4915,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HD55693,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
