star,4652.593Cr1_29,4652.593Cr1_30,4653.460Cr1_29,4653.460Cr1_30,4759.449Ti1_32,4759.449Ti1_33,4760.600Ti1_32,4760.600Ti1_33,4799.873Ti2_33,4799.873Ti2_34,4800.072Fe1_33,4800.072Fe1_34,5138.510Ni1_42,5143.171Fe1_42,5187.346Ti2_43,5200.158Fe1_43,6123.910Ca1_60,6138.313Fe1_60,6139.390Fe1_60,6153.320Fe1_61,6155.928Na1_61,6162.452Na1_61,6168.150Ca1_61,6175.044Fe1_61,6192.900Ni1_61,6202.028Fe1_61,6242.372Fe1_62,6244.834V1_62
HD10180,4.1170117109594315,4.474328506867468,3.9680435585390126,4.133352197916452,6.800848793661674,8.452943849599073,6.524229915301391,7.225982719112744,6.624377959418406,6.295575031270376,10.472183246590998,9.873472166003614,2.913666885033734,2.8708621601713715,3.414373368232622,3.2726548216234614,2.731785581401898,3.508571734680889,3.598677730794608,5.598469784863727,9.036801688685495,5.602238409379968,3.880861885083189,3.2861762151896814,3.569185818711019,4.094203963459225,4.311960446799632,10.764716272239482
HD102117,5.281174062561641,6.10412075932367,6.610802087952054,6.962387706953857,6.559061843250272,8.78517594349512,6.381375438825646,8.080756862045698,8.388580727560372,8.191589640573698,7.698836775246427,8.045265009511102,4.450200732701904,4.092809703449198,4.910391861024746,4.935516901266111,4.272139500679355,6.313526169093,5.885128958577361,5.705111701740008,8.785343325326828,6.412827412791133,4.658743542875146,3.9482189244188945,4.833840915244608,4.936861539706249,4.337695549448505,6.475364355425092
HD102438,1.9473425824346224,2.3655886791516227,2.074036990648168,2.2700208724866817,3.1302465971554465,4.365199350879768,2.961561817856732,3.7318658540783223,3.8598899160371154,4.214712656860329,4.731751821838494,5.006584379427719,1.5823628090650843,1.4836336411589044,2.0041585673249185,1.6807445017539917,1.6614995675019686,1.9515091098264576,1.9676863893731478,2.8552339910283995,6.890713471569705,3.8323753271719982,2.0073000784074058,1.6489330558351833,1.8078302101530586,1.9171220904165798,2.108906120116477,4.204626995357597
HD104982,16.92830187227952,20.38495342991605,17.492223949760987,17.744970440111587,27.73416086358274,36.98055136880392,28.621844890160894,33.01383196366625,27.737733016623583,31.55304424444724,43.08322131124464,37.59239184110922,12.529802375221506,11.872928618371215,16.08885679107472,13.803633531657026,11.832737074754442,15.322587480711972,15.305089768022627,25.785180192520155,64.43735060033536,33.80616985726664,17.589833726815815,15.128050473387816,15.908033772844243,17.803769662422535,19.26915665409639,41.45115984478493
HD106116,5.170261356539625,6.127129808247752,5.979414046951413,6.305568928077917,7.369460630195287,9.784692129185785,7.008773260532598,8.862635219875553,8.69933506887463,9.019036199614261,9.08481328539714,9.585062821752155,4.2223824806153205,4.016937023770105,5.065262364693185,5.015401461710541,4.344150039163974,5.488700665176808,5.641903093998882,6.354973600243591,11.198405825553627,7.025052757031104,4.884765847663745,4.002711809554327,4.648575018452397,5.0899648014584455,4.849833985289242,8.185427553296636
HD108309,2.8761078930949533,3.318359116197438,3.269169779375463,3.2283277302879707,4.132906387600131,5.522978908144998,4.063280798427884,4.816978877393051,4.232910194937631,4.347816343060706,5.35113333517528,5.593907058630041,2.2884698397125636,2.0958084144283227,2.358169573747181,2.34255771952443,2.0864685998408268,2.7557017748968304,2.7286024680188032,3.411698399091125,5.878264015941255,3.8246853150623332,2.579389071182893,2.138026228356518,2.568384280035296,2.7542251072068082,2.5933996469374914,5.120075328203461
HD110619,9.839353202553465,13.269139372450221,10.675989453098408,12.430524290861138,18.751698974375305,28.940205939270665,16.555418578764048,23.654230192517133,22.78681864747354,24.679932166885358,29.32410388459296,33.180767429034,8.54299109525568,7.710994205558175,11.193378802019847,8.462058202565506,8.263812131933602,11.53159065755149,10.565191217371332,17.883760789981444,51.34988634590332,25.56574354808328,12.258334936669938,10.04481322235771,10.467392288893594,10.93843063322359,13.113670938092852,29.405930757084324
HD111031,4.5139961810421125,5.494864344994582,4.94336319833987,5.418781610517464,6.06662121253687,8.38628113592571,5.915958827946417,7.427274731597951,7.0041514262112,7.47044137365358,7.826591098120823,8.001723210327741,3.8163386054685984,3.3582529343357916,4.136724785988767,3.8850867661785817,3.699300379142471,4.9311340074024175,4.8726347052321275,5.424656323561887,8.549287089838995,5.645269781924787,4.1192530363306865,3.5687893219557645,4.258529638603075,4.210872782993193,4.122448782644732,6.8320792124424425
HD114853,3.0879587995676547,3.532087999053635,3.195108956507929,3.175703730045784,5.320571959377874,7.005687478673599,4.976768212591763,5.874635485542246,5.738857519234471,5.680943033293142,8.19609339346395,8.114098686615131,2.215735604426702,2.149688281202852,2.7440584583290737,2.477607882423355,2.144180134304184,2.623306366612553,2.820323458984912,4.331706297283928,11.863309156907516,6.300138910747905,3.0185196322931493,2.4387493358811354,2.715852516257472,2.874282484698083,3.3211526788620347,8.320919086041247
HD11505,11.715093105153121,15.379141945157786,11.426282943969412,12.54730820709184,18.192670942303906,25.92637508018433,18.110190359271275,22.941376811635653,16.90555588550899,19.206634477937314,32.90048757549254,31.880994212829602,9.114331541680187,8.199440454286862,10.194902265357547,9.437496090069791,7.7273998226304625,10.456263982913727,12.803331727757792,18.60997749556032,44.877998572167215,23.459992820268415,11.886782971303631,10.57433779620163,11.354819401084308,12.242949883048754,14.108253725645746,34.233388208792064
HD115617,0.433945689600861,0.527208039791482,0.4836025562020055,0.530169599413557,0.5878634105172008,0.8428426670205601,0.5754475044614809,0.7400638751635743,0.7671480501807438,0.8320591257031004,0.755254202097232,0.840039416217113,0.35899380585651663,0.33420251905863235,0.4398953779063814,0.3865392334931599,0.3654154281457596,0.45267814460104777,0.4470983214762033,0.5386293631097075,1.0752124769777627,0.6738336804442034,0.409724599350842,0.3427503560300805,0.3847176972013906,0.4076055177808372,0.40379221327140424,0.6535496864287667
HD117105,6.388688854786018,7.801940734877361,6.114063509114975,6.728615569369734,13.083091742829733,18.05115428543258,11.51019142663749,14.97167900894604,9.742105002032904,10.607158236534998,22.793363017010506,26.757601017963456,4.685574415776097,4.360693149404342,4.993733925469742,4.819502193004424,3.8191177444759283,5.087934723521609,5.019709816818623,11.866987945047132,29.551490547772808,14.848164806315625,6.773997417243263,5.6978156725733005,5.908633668518144,6.716621689629565,8.862105095059762,28.96537421891585
HD117207,6.478119776102457,7.825364471485278,8.067369072855314,8.041040569834424,8.915814959003356,12.115917098479741,8.650063253644614,11.187965749042604,10.176706742356957,11.382024832627975,10.080027627850383,11.410213480756457,5.481112813997905,5.293688195877695,6.127698635526781,5.748318697731521,5.46910049516433,7.423786190653507,6.495666337192818,7.631998297958358,11.71949980932565,8.369642078798964,5.838778466161815,4.971408745454592,5.761504071240494,5.992989506690427,5.620850688209375,9.240682684213523
HD117618,10.924035387361641,11.974698093154345,9.917824689179145,10.9721159610426,20.360146849102993,25.60319325564616,19.719869008239023,21.015128614256636,15.258567409506037,16.472898631750855,30.48760853267077,35.56411194869106,7.098292804053598,7.002780845522008,8.777744337680275,8.627425681534962,7.147322970619981,8.622343580389277,8.191191353332153,15.858241803537867,33.73881413876033,17.178242406285833,11.353740991583825,8.864679135459403,9.322587406429703,10.563368299100368,11.936890171458293,35.810025324274456
