Transition,Order,sigsys,a,b_1,c_1,d_1,b_2,c_2,d_2
4205.650Cr1,15,19.403862114763353,283.8817915895563,-12.30278849411276,-335.5474148933256,16407.29041077838,0.0010232166461374415,37.72670286534631,-1843.7825410981425
4205.650Cr1,16,11.534917499365275,69532.04190304897,-9.916861070204876,-273.2458402137187,-18663.14363918507,0.0008327996852456553,77.27054151856709,2170.6417215321235
4210.786Fe1,15,59.27662576565274,9153.981783059517,0.8331686846420009,-295.25068103499905,-5548.794670780625,-0.00011322744121070605,36.86970357641592,694.9270018790672
4210.786Fe1,16,60.72097783991361,20023.498207268305,-0.610228716961035,-294.2803569230619,-8427.684624910074,3.422535860577971e-06,23.15803194899468,1010.1239542455961
4214.834Fe1,16,14.187085375054375,-13231.378232541847,2.56379464943898,-141.48135240448264,2620.80854622001,-0.00022223380683196415,-221.7266129495499,-290.0650491716171
4215.052Zr1,16,144.50763546467556,-61245.36930886768,12.07234642989293,1009.3591919875006,15312.907107062041,-0.0012033205179935924,2058.6446689384265,-1773.0672288589615
4216.017Fe1,16,114.78119463766424,-2382.123567785607,5.529415380480308,651.7088526220134,-4241.763540271306,-0.000575290623208281,2153.7940920071424,458.9094284835372
4217.791Fe1,16,7.570270984096449,7510.006867758412,-2.220638016983258,-25.775014546334997,-947.878336877605,0.00020355389840601566,5.249897318366161,109.46854128200101
4219.893V1,16,9.690497718817495,-1840.8563692001592,-0.06970722122419451,-93.02433195680491,1458.787132574597,2.9634339513246994e-06,14.364303876970556,-157.3379150988558
4223.402Fe1,16,14.964492885849424,-24905.657608305584,4.614086667779926,37.235014670888084,5633.090776175956,-0.0004122672100029617,110.56300544057069,-647.393214920789
4227.146Fe1,16,11.066804502538321,3622.5973743792238,-1.743292488521632,55.84372682454928,929.0668468223996,0.00012571589193505228,-104.10233036984776,-89.21554692022424
4257.811Cr1,17,10.269916140976047,-609.0206743272206,-4.236977140588288,-93.92536740510492,5552.3543311837475,0.00036556547100906523,113.44689622746529,-644.5981341239367
4257.811Cr1,18,23.596794384571048,-35562.96419875237,2.147006916190104,24.07688953302495,12897.482796664914,-0.00019063048764133281,-121.90716220630948,-1451.8496328375074
4264.790La2,17,94.93451539236298,65794.95771200722,-9.513093607378051,-139.16063632533874,-17254.82404642539,0.0007953697005772643,514.5709764788329,2038.5222767077667
4264.790La2,18,0,16997.15389880319,6.864533497187782,50.325434354957984,-16337.742027952536,-0.0006150757005499342,840.0668308242546,1900.3728922858177
4277.630Ti1,18,9.122410298246361,639.8844018418474,0.6653597479320894,-147.49663372944636,-1161.4871784168963,-5.3165759041052515e-05,45.525179968757904,130.5943069517636
4280.692Fe1,18,11.013881774960314,8408.254055902904,0.013325679853733082,167.64187914260015,-4166.4869005514265,5.606590286551983e-06,2.307100619271762,483.0874454906043
4282.569Ti1,18,5.494100281766118,5231.984832034436,-2.087217220136093,-66.27539511604965,512.7459638093221,0.00018241099788708913,49.187384328438405,-65.39809433625143
4287.210Ti1,18,59.79400517674539,-41571.9355697527,16.13511203799459,-337.15110043796454,-2313.250721519179,-0.001377601514389108,288.64029960981543,274.31040086899947
4295.006Fe1,18,11.662702622467666,29289.71805499566,-4.781598955392981,-2.0484428029423345,-7081.200814722737,0.00040979075007038893,-116.01453328860963,817.9311657506253
4295.006Fe1,19,26.036967595001578,29778.17679865126,-4.969983322726065,42.20800951545606,-7147.46280881624,0.00043342162817331726,-138.27992873651482,832.5053421782964
4299.716Ni1,18,18.225349161709715,24750.922458768353,-9.773491257963558,-95.57923587636643,1454.0790538830388,0.0008515662165208772,-294.1518071433358,-166.94515773236355
4299.716Ni1,19,37.39677922546519,42179.63235249935,-16.399143952680877,-95.78488777454554,2031.3523899916488,0.0014370480570531214,-191.64102908658595,-223.23088277208606
4309.365Mn2,19,110.975819946412,-173509.60378358563,14.29872931753222,-1062.0456388777939,63082.354356041964,-0.0013556286242737174,1632.8289856058266,-7289.882373393764
4312.193Gd2,19,40.08428354925167,-14380.534399332319,-3.622332206606751,-239.4653130850225,11370.262826303802,0.00025877142861199613,370.0191745890422,-1244.0803473370074
4315.295Sc2,19,13.782964105803252,1494.730276336779,0.035844908338901554,-52.27213689822869,-615.570976047386,1.2398387678789662e-05,-17.379568299391302,38.04062528639167
4315.724Nd2,19,18.118403019797118,12022.937214697746,0.802410310725098,-69.75639852275373,-7091.83637753102,-5.6188056171064475e-05,-103.79663875103721,824.4289003612274
4318.008Ti2,19,8.042932673943998,-3886.2455255773148,-0.6561791978151801,-146.5365345252535,2497.9146384275223,6.0184755237116354e-05,40.60089667849128,-280.21372285796497
4322.165Ti2,19,12.715096725305523,-10212.748252505076,0.8562496552591248,-107.16240026838517,3528.207206584858,-6.787828308586381e-05,34.460679290130514,-415.902853053409
4322.165Ti2,20,10.428784711405763,3635.9950292757235,0.3885743262081116,-92.450595354769,-2273.880704305628,-2.039693521611541e-05,-28.885137967256874,248.48493046552554
4334.960La2,20,37.086705902724326,-630.2291234092615,-5.322656773627012,-176.92734465018052,7892.533439952019,0.0004570266129108465,456.2090731831269,-899.8290815800038
4343.034Fe1,20,671.3657040188951,217152.87992175852,37.715287198335766,5646.417993532829,-154054.78827330392,-0.0033013684996902755,-7787.497402922893,18202.028161892908
4346.111Fe1,20,10.722863950420422,98.34844942234972,-2.793879456889095,32.62192015838617,3460.274256368749,0.00025898978350462614,-5.414594773450985,-426.87359353872193
4351.364Fe1,20,95.87116533896908,127210.41873676406,-16.433119740795554,-908.9557255850101,-36320.394040140796,0.001481442681071214,-434.19024236368887,4052.3383418807043
4351.364Fe1,21,247.96167712757267,280298.79286129365,-44.43428694194967,-1866.920223414421,-68896.11009516868,0.003939107754298404,865.2703899713551,7683.455786128454
4370.628Fe2,21,23.966836350882286,39332.73784759569,-3.117017911126699,-17.643687792953635,-13898.133598031327,0.00027735257312513467,41.81355861451479,1588.444367124731
4381.963Fe1,21,20.72743470009476,18717.930055336477,-5.724254163005361,183.5812154208501,-1564.6279945054273,0.0005165825889960117,-87.35162915459532,166.04888842753618
4381.963Fe1,22,15.841025415644461,15331.010597141656,-6.872084237809905,149.9815039015349,1684.768774588063,0.0006116679704986526,-105.16784090405379,-211.15491673125905
4386.207Cr1,21,11.654911014846999,-4004.8212600367738,0.20179118302158466,0.8248334947387672,1662.641548762731,-1.9070327103813933e-05,-74.22557939646266,-194.75491336022097
4386.207Cr1,22,20.702975735941596,9768.123541659896,0.3882241835462078,8.132431671201706,-4906.0480694686785,-2.63427079265262e-05,-145.25000970376408,550.757281668215
4387.097Ti1,21,14.326102558352853,-18180.205449825004,-11.978583721586112,-22.69656101012864,23548.339694250837,0.0010595572015977166,-111.14347212468383,-2719.4639073065505
4387.097Ti1,22,45.50647986496545,-37514.177878414936,-8.08302146318968,-10.75981037090148,27114.244020822855,0.0007255232775996796,-373.6283797712798,-3107.1921063823847
4398.472Cr1,22,145.55405549700805,-162725.60047742436,11.823495201044748,-2046.5506482565245,59966.25484524729,-0.001068830283234399,1689.022858396241,-6840.708635178206
4399.855Ni1,22,61.888408436740136,20076.97519742129,0.6298511657003073,1099.8138766125132,-11125.359326337431,-1.068297669227035e-05,-1086.47956281295,1285.8996476649454
4400.835Ni1,22,119.55961287798014,45757.15204828896,-20.432524311932347,-753.5032169699524,5466.99019629254,0.0018560765726506501,68.14186787712266,-692.6242722287989
4404.412Fe1,22,24.17784327699422,-15869.46483526786,0.6520474823354185,-122.06254922838149,6761.999239925231,-9.724624723171042e-05,426.51289392245536,-750.1729577333203
4411.270Ru1,22,41.338374878253624,57577.6357325947,-9.270095428374038,-4.683175810106568,-15003.169263518026,0.000858305016078676,-449.6127149670219,1674.6106544234615
4490.998Fe1,24,13.009192643467557,-5364.329272667161,1.9827779866168185,-32.87152861189657,128.2927300313234,-0.0001774609043524981,60.63581251357953,-27.59062680453062
4490.998Fe1,25,7.779540127516936,-5070.766934831032,1.1194884182235332,-32.82911241210316,1143.5896350240016,-0.0001020542854801614,64.23283036981219,-143.6812846774809
4492.660Fe2,25,14.702527051272856,13142.949925041992,-0.8523271752968233,387.43815509530003,-4459.736863330353,6.791071460758214e-05,240.39479452984293,482.4461598896944
4493.938Fe1,25,6.1064046045526155,-11009.140265200716,-0.27844584108376774,-50.996628243320956,5505.70020097428,1.2928343736071979e-05,199.9908200037052,-620.299772468113
